Timestamp,Object,Confidence,Distance
2025-04-23 14:30:02,Braille-Boards,0.85,very close
2025-04-23 14:30:02,TrafficSigns,0.77,close
2025-04-23 14:30:02,TrafficSigns,0.33,very close
2025-04-23 14:30:13,TrafficSigns,0.98,close
2025-04-23 14:30:13,Braille-Boards,0.88,very close
2025-04-23 14:30:13,TrafficSigns,0.33,close
2025-04-23 14:30:16,TrafficSigns,0.97,close
2025-04-23 14:30:16,Braille-Boards,0.88,very close
2025-04-23 14:30:16,TrafficSigns,0.98,close
2025-04-23 14:30:16,Braille-Boards,0.89,very close
2025-04-23 14:30:16,TrafficSigns,0.44,close
2025-04-23 14:30:16,TrafficSigns,0.98,close
2025-04-23 14:30:16,Braille-Boards,0.89,very close
2025-04-23 14:30:16,TrafficSigns,0.44,close
2025-04-23 14:30:17,TrafficSigns,0.97,close
2025-04-23 14:30:17,Braille-Boards,0.87,very close
2025-04-23 14:30:17,TrafficSigns,0.97,close
2025-04-23 14:30:17,Braille-Boards,0.87,very close
2025-04-23 14:30:17,TrafficSigns,0.98,close
2025-04-23 14:30:17,Braille-Boards,0.86,very close
2025-04-23 14:30:17,TrafficSigns,0.97,close
2025-04-23 14:30:17,Braille-Boards,0.89,very close
2025-04-23 14:30:17,TrafficSigns,0.98,close
2025-04-23 14:30:17,Braille-Boards,0.88,very close
2025-04-23 14:30:17,TrafficSigns,0.98,close
2025-04-23 14:30:17,Braille-Boards,0.9,very close
2025-04-23 14:30:17,TrafficSigns,0.97,close
2025-04-23 14:30:17,Braille-Boards,0.89,very close
2025-04-23 14:30:17,TrafficSigns,0.98,close
2025-04-23 14:30:17,Braille-Boards,0.87,very close
2025-04-23 14:30:17,TrafficSigns,0.97,close
2025-04-23 14:30:17,Braille-Boards,0.88,very close
2025-04-23 14:30:17,TrafficSigns,0.53,close
2025-04-23 14:30:17,TrafficSigns,0.98,close
2025-04-23 14:30:17,Braille-Boards,0.9,very close
2025-04-23 14:30:17,TrafficSigns,0.97,close
2025-04-23 14:30:17,Braille-Boards,0.89,very close
2025-04-23 14:30:17,TrafficSigns,0.46,close
2025-04-23 14:30:17,TrafficSigns,0.97,close
2025-04-23 14:30:17,Braille-Boards,0.88,very close
2025-04-23 14:30:17,TrafficSigns,0.97,close
2025-04-23 14:30:17,Braille-Boards,0.91,very close
2025-04-23 14:30:17,TrafficSigns,0.97,close
2025-04-23 14:30:17,Braille-Boards,0.88,very close
2025-04-23 14:30:18,TrafficSigns,0.97,close
2025-04-23 14:30:18,Braille-Boards,0.87,very close
2025-04-23 14:30:18,TrafficSigns,0.4,close
2025-04-23 14:30:18,TrafficSigns,0.97,close
2025-04-23 14:30:18,Braille-Boards,0.87,very close
2025-04-23 14:30:18,TrafficSigns,0.97,close
2025-04-23 14:30:18,Braille-Boards,0.9,very close
2025-04-23 14:30:18,TrafficSigns,0.45,close
2025-04-23 14:30:18,TrafficSigns,0.98,close
2025-04-23 14:30:18,Braille-Boards,0.9,very close
2025-04-23 14:30:18,TrafficSigns,0.98,close
2025-04-23 14:30:18,Braille-Boards,0.89,very close
2025-04-23 14:30:18,TrafficSigns,0.97,close
2025-04-23 14:30:18,Braille-Boards,0.89,very close
2025-04-23 14:30:18,TrafficSigns,0.98,close
2025-04-23 14:30:18,Braille-Boards,0.88,very close
2025-04-23 14:30:18,TrafficSigns,0.48,close
2025-04-23 14:30:18,TrafficSigns,0.97,close
2025-04-23 14:30:18,Braille-Boards,0.88,very close
2025-04-23 14:30:18,TrafficSigns,0.98,close
2025-04-23 14:30:18,Braille-Boards,0.91,very close
2025-04-23 14:30:18,TrafficSigns,0.97,close
2025-04-23 14:30:18,Braille-Boards,0.9,very close
2025-04-23 14:30:18,TrafficSigns,0.98,close
2025-04-23 14:30:18,Braille-Boards,0.89,very close
2025-04-23 14:30:18,TrafficSigns,0.97,close
2025-04-23 14:30:18,Braille-Boards,0.9,very close
2025-04-23 14:30:18,TrafficSigns,0.97,close
2025-04-23 14:30:18,Braille-Boards,0.88,very close
2025-04-23 14:30:18,TrafficSigns,0.32,close
2025-04-23 14:30:18,TrafficSigns,0.96,close
2025-04-23 14:30:18,Braille-Boards,0.9,very close
2025-04-23 14:30:18,TrafficSigns,0.43,close
2025-04-23 14:30:18,TrafficSigns,0.97,close
2025-04-23 14:30:18,Braille-Boards,0.88,very close
2025-04-23 14:30:19,TrafficSigns,0.98,close
2025-04-23 14:30:19,Braille-Boards,0.88,very close
2025-04-23 14:30:19,TrafficSigns,0.97,close
2025-04-23 14:30:19,Braille-Boards,0.89,very close
2025-04-23 14:30:19,TrafficSigns,0.97,close
2025-04-23 14:30:19,Braille-Boards,0.87,very close
2025-04-23 14:30:19,TrafficSigns,0.53,close
